,split-1,split-2,split-3,split-4,split-5,split-6,split-7,split-8,split-9,split-10,split-11,split-12,split-13,split-14,split-15,split-16,split-17,split-18,split-19,split-20,split-21,split-22,split-23,split-24,split-25,split-26,split-27,split-28,split-29,split-30,split-31,split-32,split-33,split-34,split-35,split-36,split-37,split-38,split-39,split-40,split-41,split-42,split-43,split-44,split-45,split-46,split-47,split-48,split-49,split-50,split-51,split-52,split-53,split-54,split-55,split-56,split-57,split-58,split-59,split-60,split-61,split-62,split-63,split-64,split-65,split-66,split-67,split-68,split-69,split-70,split-71,split-72,split-73,split-74,split-75,split-76,split-77,split-78,split-79,split-80,split-81,split-82,split-83,split-84,split-85,split-86,split-87,split-88,split-89,split-90,split-91,split-92,split-93,split-94,split-95,split-96,split-97,split-98,split-99,split-100,Mean
Test_F1,0.9245283018867925,0.912621359223301,0.8510638297872339,0.9111111111111112,0.9195402298850576,0.9038461538461539,0.9320388349514563,0.8510638297872339,0.9347826086956522,0.9213483146067415,0.8932038834951456,0.9215686274509803,0.875,0.923076923076923,0.9213483146067416,0.8932038834951456,0.8775510204081632,0.88659793814433,0.9247311827956989,0.9438202247191011,0.8932038834951456,0.9108910891089108,0.9183673469387755,0.923076923076923,0.8988764044943819,0.8823529411764706,0.923076923076923,0.88659793814433,0.923076923076923,0.9195402298850576,0.912621359223301,0.9019607843137255,0.8979591836734693,0.8666666666666667,0.9555555555555556,0.9038461538461539,0.9038461538461539,0.9072164948453608,0.8863636363636362,0.9438202247191011,0.8932038834951456,0.9038461538461539,0.9072164948453608,0.9111111111111111,0.9318181818181819,0.8737864077669905,0.9215686274509803,0.8723404255319148,0.9130434782608696,0.9555555555555556,0.8932038834951457,0.9215686274509803,0.8958333333333334,0.9347826086956522,0.8735632183908046,0.8932038834951457,0.9126213592233009,0.8958333333333333,0.9010989010989011,0.9195402298850575,0.8952380952380952,0.9,0.9183673469387755,0.888888888888889,0.9438202247191011,0.8800000000000001,0.9019607843137256,0.8775510204081632,0.923076923076923,0.9318181818181818,0.8712871287128713,0.9019607843137255,0.88659793814433,0.9347826086956522,0.9318181818181818,0.8800000000000001,0.9019607843137255,0.9090909090909091,0.923076923076923,0.9213483146067417,0.8932038834951457,0.9215686274509804,0.88659793814433,0.9130434782608696,0.9213483146067415,0.9019607843137255,0.8712871287128713,0.9072164948453608,0.9130434782608695,0.9438202247191011,0.9019607843137256,0.9019607843137255,0.888888888888889,0.923076923076923,0.9195402298850575,0.8737864077669905,0.9215686274509804,0.8958333333333334,0.888888888888889,0.9318181818181819,0.9064876152630547
Test_Accuracy,0.864406779661017,0.8448275862068966,0.7454545454545455,0.8431372549019608,0.8571428571428571,0.8305084745762712,0.8793103448275862,0.7454545454545455,0.8823529411764706,0.8571428571428571,0.8135593220338984,0.8620689655172413,0.7818181818181819,0.8627450980392157,0.8571428571428571,0.8135593220338984,0.7931034482758621,0.8,0.8627450980392157,0.8979591836734694,0.8135593220338984,0.8448275862068966,0.8545454545454545,0.8627450980392157,0.8163265306122449,0.7966101694915254,0.8620689655172413,0.8,0.8627450980392157,0.8571428571428571,0.847457627118644,0.8275862068965517,0.8181818181818182,0.7647058823529411,0.9183673469387755,0.8305084745762712,0.8275862068965517,0.8363636363636363,0.803921568627451,0.8979591836734694,0.8135593220338984,0.8275862068965517,0.8363636363636363,0.8431372549019608,0.8775510204081632,0.7796610169491526,0.8620689655172413,0.7818181818181819,0.8431372549019608,0.9183673469387755,0.8135593220338984,0.8620689655172413,0.8181818181818182,0.8823529411764706,0.7755102040816326,0.8135593220338984,0.8448275862068966,0.8181818181818182,0.8235294117647058,0.8571428571428571,0.8135593220338984,0.8275862068965517,0.8545454545454545,0.803921568627451,0.8979591836734694,0.7966101694915254,0.8275862068965517,0.7818181818181819,0.8627450980392157,0.8775510204081632,0.7796610169491526,0.8275862068965517,0.8,0.8823529411764706,0.8775510204081632,0.7966101694915254,0.8275862068965517,0.8363636363636363,0.8627450980392157,0.8571428571428571,0.8135593220338984,0.8620689655172413,0.8,0.8431372549019608,0.8571428571428571,0.8305084745762712,0.7758620689655172,0.8363636363636363,0.8431372549019608,0.8979591836734694,0.8305084745762712,0.8275862068965517,0.8,0.8627450980392157,0.8571428571428571,0.7796610169491526,0.8620689655172413,0.8181818181818182,0.803921568627451,0.8775510204081632,0.8350040075963437
Test_AUC,0.8530612244897959,0.7437499999999999,0.6428571428571428,0.6831395348837209,0.7138888888888889,0.7854609929078015,0.7729166666666667,0.673992673992674,0.6191860465116279,0.6632653061224489,0.6968085106382979,0.6982591876208897,0.7272727272727272,0.6482558139534884,0.7774390243902439,0.7641843971631206,0.6931818181818182,0.6466942148760331,0.7824675324675324,0.8333333333333333,0.7269503546099291,0.6684782608695652,0.6822222222222223,0.7325581395348837,0.7195121951219512,0.6555183946488294,0.7770833333333333,0.6355555555555555,0.5930232558139534,0.6694444444444444,0.7272727272727273,0.7253384912959382,0.6570247933884298,0.5727272727272728,0.8527131782945736,0.7695035460992907,0.6692456479690523,0.72,0.5568181818181818,0.748062015503876,0.7145390070921985,0.71875,0.6632231404958677,0.7486772486772487,0.7896341463414633,0.7429078014184397,0.7292069632495164,0.6666666666666667,0.7751322751322751,0.6937984496124031,0.6704545454545454,0.8259187620889749,0.7128099173553719,0.8168604651162791,0.46944444444444444,0.7474916387959867,0.7388781431334623,0.7577777777777778,0.7761627906976744,0.6737804878048781,0.7551020408163266,0.705982905982906,0.7155555555555556,0.6926829268292682,0.7346938775510203,0.7412698412698412,0.7458333333333333,0.6219008264462809,0.7848837209302326,0.6870748299319728,0.7123745819397993,0.7272727272727273,0.6694214876033059,0.7906976744186046,0.7040816326530612,0.6488294314381271,0.7590579710144927,0.7444444444444444,0.7142857142857143,0.7829457364341086,0.6404682274247492,0.8145833333333333,0.6508264462809917,0.7936507936507936,0.7789115646258503,0.6822742474916388,0.6820512820512821,0.7657004830917874,0.6482558139534884,0.8231292517006803,0.8219696969696969,0.6924564796905223,0.6652892561983471,0.7486772486772487,0.6768292682926829,0.7553191489361702,0.75625,0.7584541062801933,0.7159090909090908,0.7042682926829268,0.7172424701149034
