,sample-0,sample-1,sample-2,sample-3,sample-4,sample-5,sample-6,sample-7,sample-8,sample-9,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-40,sample-41,sample-42,sample-43,sample-44,sample-45,sample-46,sample-47,sample-48,sample-49,sample-50,sample-51,sample-52,sample-53,sample-54,sample-55,sample-56,sample-57,sample-58,sample-59,sample-60,sample-61,sample-62,sample-63,sample-64,sample-65,sample-66,sample-67,sample-68,sample-69,sample-70,sample-71,sample-72,sample-73,sample-74,sample-75,sample-76,sample-77,sample-78,sample-79,sample-80,sample-81,sample-82,sample-83,sample-84,sample-85,sample-86,sample-87,sample-88,sample-89,sample-90,sample-91,sample-92,sample-93,sample-94,sample-95,sample-96,sample-97,sample-98,sample-99,sample-100
Predicted_proba_0,0.37798428535461426,0.015388423576951027,0.004353805910795927,0.03470001369714737,0.01198672130703926,0.007798860780894756,0.040379758924245834,0.0019008222734555602,0.002205698285251856,0.06799323856830597,0.0027469219639897346,0.0041027064435184,0.01048059668391943,0.00451963534578681,0.006064045708626509,0.9148285984992981,0.011099857278168201,0.027785368263721466,0.06139973923563957,0.49379920959472656,0.9384680986404419,0.24536144733428955,0.9657454490661621,0.9504201412200928,0.9908815622329712,0.9430286884307861,0.9865046143531799,0.059212710708379745,0.03899450600147247,0.11490552127361298,0.01039239950478077,0.03589264303445816,0.4315234422683716,0.9728960990905762,0.9744360446929932,0.9648221731185913,0.988534152507782,0.341787189245224,0.9693880081176758,0.9966400861740112,0.4568217098712921,0.9832273721694946,0.9755759835243225,0.6551939249038696,0.9808236360549927,0.9757056832313538,0.9936448335647583,0.9782940149307251,0.9935277104377747,0.8564502596855164,0.9873073101043701,0.7044721841812134,0.008063585497438908,0.953549861907959,0.9944323897361755,0.9932142496109009,0.945679247379303,0.09850164502859116,0.9467566013336182,0.3584155738353729,0.9940952062606812,0.28808239102363586,0.9692520499229431,0.08836553245782852,0.6155231595039368,0.19459153711795807,0.45631876587867737,0.33963480591773987,0.8338222503662109,0.9810166954994202,0.9943660497665405,0.8936967849731445,0.9802607893943787,0.8942164778709412,0.9949557185173035,0.017562726512551308,0.00791944656521082,0.18229137361049652,0.0045242914929986,0.0019106087274849415,0.004196043126285076,0.013537229038774967,0.12068890780210495,0.01612767204642296,0.004152883775532246,0.0019867434166371822,0.0025721350684762,0.0023494521155953407,0.002826306037604809,0.9474236965179443,0.07192424684762955,0.0031549467239528894,0.15641525387763977,0.0746610164642334,0.03187920153141022,0.0019000391475856304,0.03514619544148445,0.9892576336860657,0.006899374071508646,0.936141312122345,0.008721437305212021
Predicted_proba_1,0.6220157146453857,0.9846115708351135,0.9956461787223816,0.9652999639511108,0.9880132675170898,0.9922010898590088,0.9596202969551086,0.998099148273468,0.9977942705154419,0.9320067763328552,0.9972531199455261,0.9958972930908203,0.9895193576812744,0.9954802989959717,0.9939360022544861,0.08517137169837952,0.9889001846313477,0.9722146391868591,0.9386002421379089,0.5062007904052734,0.06153184920549393,0.7546386122703552,0.034254591912031174,0.04957982152700424,0.009118491783738136,0.056971337646245956,0.013495394960045815,0.9407873153686523,0.961005449295044,0.8850945234298706,0.9896076321601868,0.9641073942184448,0.5684765577316284,0.027103878557682037,0.025563977658748627,0.0351778008043766,0.011465851217508316,0.6582128405570984,0.03061198629438877,0.0033598835580050945,0.5431783199310303,0.01677260361611843,0.02442404069006443,0.34480610489845276,0.019176365807652473,0.024294374510645866,0.0063551911152899265,0.021705972030758858,0.006472324021160603,0.14354977011680603,0.012692664749920368,0.2955278158187866,0.991936445236206,0.046450164169073105,0.005567640997469425,0.0067857722751796246,0.05432075262069702,0.9014983773231506,0.053243353962898254,0.6415843963623047,0.005904818419367075,0.7119176387786865,0.03074798360466957,0.9116345047950745,0.38447684049606323,0.8054084777832031,0.543681263923645,0.6603651642799377,0.16617774963378906,0.018983352929353714,0.0056339772418141365,0.10630324482917786,0.019739223644137383,0.10578353703022003,0.005044228862971067,0.9824371933937073,0.9920806288719177,0.8177086114883423,0.995475709438324,0.9980893731117249,0.9958040118217468,0.9864627718925476,0.8793111443519592,0.9838723540306091,0.9958471655845642,0.9980132579803467,0.9974278807640076,0.9976505637168884,0.9971736669540405,0.052576303482055664,0.9280757904052734,0.9968451261520386,0.8435847759246826,0.9253389835357666,0.968120813369751,0.9980999827384949,0.964853823184967,0.010742314159870148,0.993100643157959,0.06385865807533264,0.9912785887718201
Predicted_label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
True_label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
