,split-1,split-2,split-3,split-4,split-5,Mean
Test_F1,0.4615384615384615,0.588235294117647,0.588235294117647,0.5641025641025641,0.41025641025641024,0.5224736048265459
Test_Accuracy,0.6111111111111112,0.7407407407407407,0.7407407407407407,0.6792452830188679,0.5660377358490566,0.6675751222921034
Test_AUC,0.6608946608946609,0.7388167388167388,0.774891774891775,0.7454545454545454,0.6473214285714286,0.7134758297258298
