,split-1,split-2,split-3,split-4,split-5,split-6,split-7,split-8,split-9,split-10,split-11,split-12,split-13,split-14,split-15,split-16,split-17,split-18,split-19,split-20,split-21,split-22,split-23,split-24,split-25,split-26,split-27,split-28,split-29,split-30,split-31,split-32,split-33,split-34,split-35,split-36,split-37,split-38,split-39,split-40,split-41,split-42,split-43,split-44,split-45,split-46,split-47,split-48,split-49,split-50,split-51,split-52,split-53,split-54,split-55,split-56,split-57,split-58,split-59,split-60,split-61,split-62,split-63,split-64,split-65,split-66,split-67,split-68,split-69,split-70,split-71,split-72,split-73,split-74,split-75,split-76,split-77,split-78,split-79,split-80,split-81,split-82,split-83,split-84,split-85,split-86,split-87,split-88,split-89,split-90,split-91,split-92,split-93,split-94,split-95,split-96,split-97,split-98,split-99,split-100,Mean
Test_F1,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9,0.9473684210526316,0.9149282296650716
Test_Accuracy,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8181818181818182,0.9,0.8436363636363636
Test_AUC,0.55,0.8,0.65,0.5555555555555556,0.8888888888888888,0.45,0.6,0.75,0.6666666666666666,0.7777777777777778,0.5,0.45,0.85,0.6111111111111112,0.7777777777777778,0.85,0.8,0.45,0.3333333333333333,1.0,0.8,0.35,0.45,0.5,0.8888888888888888,0.65,0.75,0.8,0.3333333333333333,0.5555555555555556,0.5,0.75,0.8,0.7777777777777778,0.3333333333333333,0.7,0.45,0.7,0.611111111111111,0.6666666666666666,0.9,0.05,0.55,0.8888888888888888,1.0,0.55,0.9,0.8,0.5,0.1111111111111111,0.4,0.6,0.75,0.7777777777777778,0.3333333333333333,0.5,0.7,0.55,0.9444444444444444,0.7777777777777778,0.45,0.7,0.95,0.9444444444444444,0.8888888888888888,0.9,0.55,0.44999999999999996,0.38888888888888884,0.0,1.0,0.5,0.8,0.8888888888888888,0.7777777777777778,0.3,0.95,0.5,0.7222222222222222,0.6666666666666666,0.5,0.55,0.65,0.8888888888888888,0.6666666666666666,0.44999999999999996,0.3,0.8,0.9444444444444444,0.8888888888888888,0.95,0.55,0.6,0.3888888888888889,0.7777777777777778,0.7,0.2,0.7,0.6666666666666666,0.7777777777777778,0.6453888888888889
