,sample-0,sample-1,sample-2,sample-3,sample-4,sample-5,sample-6,sample-7,sample-8,sample-9,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-40,sample-41,sample-42,sample-43,sample-44,sample-45,sample-46,sample-47,sample-48,sample-49,sample-50,sample-51,sample-52,sample-53,sample-54,sample-55,sample-56,sample-57,sample-58,sample-59,sample-60,sample-61,sample-62,sample-63,sample-64,sample-65,sample-66,sample-67,sample-68,sample-69,sample-70,sample-71,sample-72,sample-73,sample-74,sample-75,sample-76,sample-77,sample-78,sample-79,sample-80,sample-81,sample-82,sample-83,sample-84,sample-85,sample-86,sample-87,sample-88,sample-89,sample-90,sample-91,sample-92,sample-93,sample-94,sample-95,sample-96,sample-97,sample-98,sample-99,sample-100
Predicted_proba_0,0.5159527659416199,0.01857588067650795,0.0042518568225204945,0.0242039542645216,0.004759398754686117,0.005745531991124153,0.039858005940914154,0.0010373118566349149,0.0015000777784734964,0.07626999914646149,0.0020892941392958164,0.0029429118148982525,0.0037716326769441366,0.003961952403187752,0.005935560911893845,0.8870009779930115,0.009235232137143612,0.015812261030077934,0.11237733066082001,0.47198933362960815,0.8877215385437012,0.08942502737045288,0.9675518870353699,0.8797456622123718,0.9952436089515686,0.9504935145378113,0.9855085015296936,0.04744824022054672,0.03683223947882652,0.13141129910945892,0.0054959943518042564,0.04746738076210022,0.29463231563568115,0.9355112910270691,0.980077862739563,0.8864825367927551,0.9863197207450867,0.06310324370861053,0.9678093791007996,0.9986911416053772,0.5214986205101013,0.9846871495246887,0.9604325294494629,0.7187214493751526,0.8814274668693542,0.9021413922309875,0.9797082543373108,0.9541136026382446,0.9958592057228088,0.7825919389724731,0.9878756999969482,0.4863932430744171,0.01777244731783867,0.9204516410827637,0.9886602163314819,0.990909993648529,0.8832342028617859,0.1835571825504303,0.8822021484375,0.41781213879585266,0.9926924705505371,0.28542646765708923,0.9452813267707825,0.24482135474681854,0.5815386772155762,0.19400714337825775,0.5610631108283997,0.4777164161205292,0.690494954586029,0.9572184681892395,0.9922054409980774,0.8148097991943359,0.9660516381263733,0.8128417134284973,0.9947275519371033,0.03111143223941326,0.011394067667424679,0.22053109109401703,0.004967988468706608,0.002045731758698821,0.00408601202070713,0.017797229811549187,0.1789022833108902,0.022410769015550613,0.0031352427322417498,0.002025137422606349,0.003473794087767601,0.0034439789596945047,0.0039476375095546246,0.8968842029571533,0.12014738470315933,0.0051052263006567955,0.34604623913764954,0.1822478324174881,0.05420241877436638,0.002397705800831318,0.03474682569503784,0.9722217321395874,0.005940776318311691,0.9253765940666199,0.004997471813112497
Predicted_proba_1,0.48404717445373535,0.9814241528511047,0.9957482218742371,0.9757959842681885,0.9952405691146851,0.9942544102668762,0.9601420164108276,0.9989626407623291,0.9984999895095825,0.9237299561500549,0.9979106783866882,0.9970570802688599,0.9962283372879028,0.9960380792617798,0.9940645098686218,0.11299894005060196,0.9907647371292114,0.9841877222061157,0.8876227140426636,0.5280106663703918,0.11227846145629883,0.9105749726295471,0.032448142766952515,0.12025431543588638,0.004756387323141098,0.04950646683573723,0.01449145283550024,0.9525517821311951,0.9631677269935608,0.8685886859893799,0.9945039749145508,0.9525325894355774,0.7053676843643188,0.06448876857757568,0.01992209628224373,0.11351743340492249,0.01368020847439766,0.9368967413902283,0.032190654426813126,0.0013089085696265101,0.4785013794898987,0.015312882140278816,0.03956751525402069,0.2812785506248474,0.11857252568006516,0.09785855561494827,0.020291712135076523,0.04588640481233597,0.004140761680901051,0.2174079865217209,0.012124224565923214,0.5136067271232605,0.9822275042533875,0.07954833656549454,0.011339743621647358,0.009090005420148373,0.11676578968763351,0.8164428472518921,0.11779780685901642,0.5821878910064697,0.007307463325560093,0.7145735621452332,0.054718729108572006,0.755178689956665,0.41846129298210144,0.8059929013252258,0.4389369487762451,0.5222835540771484,0.30950504541397095,0.04278157278895378,0.007794529665261507,0.18519015610218048,0.03394831717014313,0.18715828657150269,0.005272428039461374,0.968888521194458,0.9886059165000916,0.779468834400177,0.9950319528579712,0.997954249382019,0.9959139227867126,0.9822027683258057,0.821097731590271,0.9775891900062561,0.9968647360801697,0.9979748129844666,0.9965261816978455,0.9965560436248779,0.9960523843765259,0.1031157597899437,0.8798525929450989,0.9948947429656982,0.6539537906646729,0.8177521824836731,0.9457976222038269,0.9976022839546204,0.9652531743049622,0.027778230607509613,0.9940592050552368,0.07462345063686371,0.9950025677680969
Predicted_label,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
True_label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
