,sample-0,sample-1,sample-2,sample-3,sample-4,sample-5,sample-6,sample-7,sample-8,sample-9,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-40,sample-41,sample-42,sample-43,sample-44,sample-45,sample-46,sample-47,sample-48,sample-49,sample-50,sample-51,sample-52,sample-53,sample-54,sample-55,sample-56,sample-57,sample-58,sample-59,sample-60,sample-61,sample-62,sample-63,sample-64,sample-65,sample-66,sample-67,sample-68,sample-69,sample-70,sample-71,sample-72,sample-73,sample-74,sample-75,sample-76,sample-77,sample-78,sample-79,sample-80,sample-81,sample-82,sample-83,sample-84,sample-85,sample-86,sample-87,sample-88,sample-89,sample-90,sample-91,sample-92,sample-93,sample-94,sample-95,sample-96,sample-97,sample-98,sample-99,sample-100
Predicted_proba_0,0.13163697719573975,0.0005239672027528286,1.5441093637491576e-05,0.004251642618328333,4.4265787437325343e-05,4.181767872069031e-05,0.0016262107528746128,3.2294019547407515e-06,1.5443276879523182e-06,0.013045301660895348,2.559771019150503e-06,6.3107577261689585e-06,2.348555608477909e-05,1.1606335647229571e-05,3.6706267565023154e-05,0.9741889834403992,0.00022287553292699158,0.0006018358981236815,0.006902170833200216,0.34134089946746826,0.9775567650794983,0.026973653584718704,0.9991391897201538,0.9898133873939514,0.9999579191207886,0.9979058504104614,0.9998457431793213,0.0027555921114981174,0.0039939903654158115,0.07023504376411438,9.172662248602137e-05,0.002982881385833025,0.17661169171333313,0.9943980574607849,0.988389253616333,0.9816223382949829,0.9992125034332275,0.0026471156161278486,0.9966902732849121,0.9999946355819702,0.7480689883232117,0.9985142350196838,0.9943780303001404,0.9453473687171936,0.9729657173156738,0.9975415468215942,0.9996554851531982,0.9992367029190063,0.9999345541000366,0.771209180355072,0.9996020197868347,0.6373687386512756,1.8576161892269738e-05,0.9968518614768982,0.9999796152114868,0.9998639822006226,0.9872092008590698,0.011095733381807804,0.9600697159767151,0.08796437829732895,0.9996905326843262,0.026942892000079155,0.9985119700431824,0.025495436042547226,0.694654107093811,0.03333282843232155,0.41836488246917725,0.36077556014060974,0.8119533061981201,0.9969526529312134,0.9999033212661743,0.9666897654533386,0.9974547028541565,0.9777121543884277,0.9999891519546509,0.00046498767915181816,0.00018930291116703302,0.013593852519989014,1.183315907837823e-05,4.599280146067031e-06,3.088709127041511e-05,0.0001669785415288061,0.06929822266101837,0.002367619192227721,3.656365515780635e-05,6.19487400399521e-06,1.6556856280658394e-05,2.3544038413092494e-05,2.3678148863837123e-05,0.9881930947303772,0.006265572272241116,1.3965529433335178e-05,0.04213392734527588,0.1424446851015091,0.004372129216790199,6.548613782797474e-06,0.005828419234603643,0.998428225517273,0.0001437878527212888,0.9993200302124023,0.00010162895341636613
Predicted_proba_1,0.8683630228042603,0.9994760155677795,0.9999845027923584,0.9957483410835266,0.9999557733535767,0.9999581575393677,0.9983737468719482,0.9999967813491821,0.9999984502792358,0.9869547486305237,0.9999974966049194,0.9999936819076538,0.9999765157699585,0.9999884366989136,0.9999632835388184,0.02581101283431053,0.9997771382331848,0.9993981122970581,0.9930978417396545,0.6586591005325317,0.022443223744630814,0.9730263352394104,0.0008608379866927862,0.010186645202338696,4.212957719573751e-05,0.002094119321554899,0.00015422434080392122,0.9972444772720337,0.9960060715675354,0.9297649264335632,0.9999082088470459,0.9970171451568604,0.8233883380889893,0.005601929035037756,0.011610695160925388,0.01837764121592045,0.0007875193259678781,0.9973528385162354,0.0033097253181040287,5.399478141043801e-06,0.25193098187446594,0.0014857739442959428,0.005621918477118015,0.05465257167816162,0.02703431434929371,0.002458523027598858,0.0003445577749516815,0.0007633439963683486,6.545208452735096e-05,0.22879081964492798,0.0003980187757406384,0.36263126134872437,0.9999814033508301,0.003148175310343504,2.0400153516675346e-05,0.00013605684216599911,0.0127908019348979,0.9889042973518372,0.0399303138256073,0.9120355844497681,0.00030951679218560457,0.9730571508407593,0.0014879818772897124,0.9745045304298401,0.30534589290618896,0.9666671752929688,0.5816351175308228,0.6392244696617126,0.1880466490983963,0.0030473102815449238,9.66233346844092e-05,0.03331023454666138,0.0025453183334320784,0.022287899628281593,1.0793198271130677e-05,0.999535083770752,0.9998107552528381,0.986406147480011,0.9999881982803345,0.9999953508377075,0.9999691247940063,0.9998329877853394,0.9307017922401428,0.9976323843002319,0.9999634027481079,0.9999938011169434,0.9999834299087524,0.999976396560669,0.9999762773513794,0.011806915514171124,0.9937344193458557,0.9999860525131226,0.9578660726547241,0.8575553297996521,0.9956278800964355,0.9999934434890747,0.9941715598106384,0.001571769011206925,0.9998562335968018,0.0006799542461521924,0.9998983144760132
Predicted_label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
True_label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
