,split-1,split-2,split-3,split-4,split-5,split-6,split-7,split-8,split-9,split-10,split-11,split-12,split-13,split-14,split-15,split-16,split-17,split-18,split-19,split-20,split-21,split-22,split-23,split-24,split-25,split-26,split-27,split-28,split-29,split-30,split-31,split-32,split-33,split-34,split-35,split-36,split-37,split-38,split-39,split-40,split-41,split-42,split-43,split-44,split-45,split-46,split-47,split-48,split-49,split-50,split-51,split-52,split-53,split-54,split-55,split-56,split-57,split-58,split-59,split-60,split-61,split-62,split-63,split-64,split-65,split-66,split-67,split-68,split-69,split-70,split-71,split-72,split-73,split-74,split-75,split-76,split-77,split-78,split-79,split-80,split-81,split-82,split-83,split-84,split-85,split-86,split-87,split-88,split-89,split-90,split-91,split-92,split-93,split-94,split-95,split-96,split-97,split-98,split-99,split-100,Mean
Test_F1,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8750000000000001,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9216666666666669
Test_Accuracy,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.7777777777777778,0.875,0.875,0.875,0.875,0.8555555555555556
Test_AUC,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.8571428571428572,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.6164285714285715
