,split-1,split-2,split-3,split-4,split-5,split-6,split-7,split-8,split-9,split-10,Mean
Test_F1,0.909090909090909,0.8936170212765957,0.7804878048780488,0.9333333333333333,0.888888888888889,0.8292682926829269,0.8636363636363635,0.8108108108108107,0.8571428571428572,0.9268292682926829,0.8693105550033419
Test_Accuracy,0.8620689655172413,0.8275862068965517,0.6785714285714286,0.8928571428571429,0.8214285714285714,0.75,0.7857142857142857,0.75,0.7857142857142857,0.8928571428571429,0.804679802955665
Test_AUC,0.8630952380952381,0.75,0.6394557823129252,0.9931972789115646,0.9387755102040817,0.8095238095238095,0.9125,0.8125,0.8374999999999999,0.9312499999999999,0.8487797619047619
