,sample-0,sample-1,sample-2,sample-3,sample-4,sample-5,sample-6,sample-7,sample-8,sample-9,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-40,sample-41,sample-42,sample-43,sample-44,sample-45,sample-46,sample-47,sample-48,sample-49,sample-50,sample-51,sample-52,sample-53,sample-54,sample-55,sample-56,sample-57,sample-58,sample-59,sample-60,sample-61,sample-62,sample-63,sample-64,sample-65,sample-66,sample-67,sample-68,sample-69,sample-70,sample-71,sample-72,sample-73,sample-74,sample-75,sample-76,sample-77,sample-78,sample-79,sample-80,sample-81,sample-82,sample-83,sample-84,sample-85,sample-86,sample-87,sample-88,sample-89,sample-90,sample-91,sample-92,sample-93,sample-94,sample-95,sample-96,sample-97,sample-98,sample-99,sample-100
Predicted_proba_0,0.7323034405708313,0.0114035839214921,0.0035016159527003765,0.014735003001987934,0.011421212926506996,0.005433662328869104,0.054761212319135666,0.0004721853183582425,0.00045765546383336186,0.06884018331766129,0.0005386444390751421,0.0017949150642380118,0.014056626707315445,0.003514868440106511,0.003773265751078725,0.9541215300559998,0.039357610046863556,0.01676599308848381,0.0635046437382698,0.28322291374206543,0.9517767429351807,0.2244458943605423,0.915143609046936,0.8510363101959229,0.9898719191551208,0.9691658020019531,0.9802471399307251,0.015971308574080467,0.031090691685676575,0.013767457567155361,0.006689098663628101,0.06780576705932617,0.17127887904644012,0.9051188230514526,0.7715889811515808,0.944359540939331,0.9282591938972473,0.21123071014881134,0.8814807534217834,0.998869001865387,0.8952757120132446,0.9644574522972107,0.9665939807891846,0.6239840984344482,0.9583118557929993,0.97128826379776,0.9849045276641846,0.7802290916442871,0.997601330280304,0.7865899801254272,0.983951210975647,0.5458893775939941,0.050425395369529724,0.8619657158851624,0.9766925573348999,0.9616996645927429,0.9139063358306885,0.14079713821411133,0.8727121949195862,0.5008118152618408,0.996905505657196,0.2916262149810791,0.9536884427070618,0.42793580889701843,0.4003102779388428,0.20412026345729828,0.5618369579315186,0.5078621506690979,0.3683772087097168,0.9870238304138184,0.9823549389839172,0.7511667609214783,0.9702402353286743,0.7969558835029602,0.9951788187026978,0.013320383615791798,0.002856594044715166,0.18347766995429993,0.0032196154352277517,0.0011991430073976517,0.0050930846482515335,0.10918909311294556,0.7200857400894165,0.027831193059682846,0.0007970955921337008,0.0003398042172193527,0.002108444692566991,0.0008373096934519708,0.0029234816320240498,0.7757827043533325,0.06630481779575348,0.0029171835631132126,0.266714870929718,0.1088247001171112,0.040949948132038116,0.0008144450257532299,0.018341215327382088,0.8700008988380432,0.002355023520067334,0.9758091568946838,0.011430548503994942
Predicted_proba_1,0.2676965594291687,0.9885963797569275,0.9964983463287354,0.9852649569511414,0.9885787963867188,0.9945663213729858,0.9452388286590576,0.9995278120040894,0.9995423555374146,0.9311597943305969,0.9994613528251648,0.9982050657272339,0.9859433174133301,0.9964851140975952,0.9962267875671387,0.045878466218709946,0.960642397403717,0.9832339286804199,0.936495304107666,0.7167770862579346,0.048223260790109634,0.7755541205406189,0.08485641330480576,0.14896364510059357,0.010128087364137173,0.03083415888249874,0.019752809777855873,0.9840286374092102,0.9689092636108398,0.9862325191497803,0.9933109283447266,0.9321942329406738,0.8287210464477539,0.09488115459680557,0.22841103374958038,0.055640459060668945,0.07174073904752731,0.7887693047523499,0.11851929128170013,0.0011309495894238353,0.10472424328327179,0.03554248437285423,0.03340597823262215,0.37601587176322937,0.04168812930583954,0.028711706399917603,0.015095489099621773,0.2197708785533905,0.002398718846961856,0.21340999007225037,0.016048843041062355,0.45411065220832825,0.9495746493339539,0.13803431391716003,0.02330750785768032,0.03830033540725708,0.08609365671873093,0.8592028617858887,0.1272878497838974,0.49918821454048157,0.003094489686191082,0.7083737254142761,0.04631153121590614,0.5720641613006592,0.5996896624565125,0.7958797216415405,0.43816307187080383,0.4921378493309021,0.631622850894928,0.012976180762052536,0.017644992098212242,0.24883325397968292,0.02975979447364807,0.20304405689239502,0.004821217618882656,0.9866796135902405,0.9971434473991394,0.8165223598480225,0.9967803955078125,0.9988008737564087,0.9949068427085876,0.8908109068870544,0.2799142301082611,0.9721687436103821,0.9992029070854187,0.9996602535247803,0.9978916049003601,0.9991626739501953,0.9970765113830566,0.22421731054782867,0.9336951971054077,0.9970827698707581,0.733285129070282,0.8911752700805664,0.9590499997138977,0.9991855025291443,0.9816587567329407,0.12999911606311798,0.9976449608802795,0.02419079840183258,0.988569438457489
Predicted_label,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
True_label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
