,split-1,split-2,split-3,split-4,split-5,split-6,split-7,split-8,split-9,split-10,split-11,split-12,split-13,split-14,split-15,split-16,split-17,split-18,split-19,split-20,split-21,split-22,split-23,split-24,split-25,split-26,split-27,split-28,split-29,split-30,split-31,split-32,split-33,split-34,split-35,split-36,split-37,split-38,split-39,split-40,split-41,split-42,split-43,split-44,split-45,split-46,split-47,split-48,split-49,split-50,split-51,split-52,split-53,split-54,split-55,split-56,split-57,split-58,split-59,split-60,split-61,split-62,split-63,split-64,split-65,split-66,split-67,split-68,split-69,split-70,split-71,split-72,split-73,split-74,split-75,split-76,split-77,split-78,split-79,split-80,split-81,split-82,split-83,split-84,split-85,split-86,split-87,split-88,split-89,split-90,split-91,split-92,split-93,split-94,split-95,split-96,split-97,split-98,split-99,split-100,Mean
Test_F1,0.7636363636363636,0.8461538461538461,0.8400000000000001,0.8571428571428571,0.8333333333333334,0.7058823529411765,0.8461538461538461,0.8076923076923077,0.7906976744186046,0.8947368421052632,0.7636363636363638,0.7999999999999999,0.8679245283018869,0.7906976744186047,0.8333333333333333,0.7547169811320755,0.823529411764706,0.8846153846153846,0.8444444444444444,0.8823529411764706,0.7272727272727272,0.8461538461538461,0.84,0.8181818181818181,0.8333333333333334,0.7636363636363636,0.84,0.846153846153846,0.8292682926829269,0.7999999999999999,0.6923076923076923,0.8148148148148149,0.8301886792452831,0.7906976744186046,0.8571428571428572,0.7169811320754716,0.8301886792452831,0.9056603773584906,0.8095238095238095,0.8947368421052632,0.6399999999999999,0.823529411764706,0.8679245283018869,0.8571428571428572,0.8648648648648649,0.7924528301886792,0.846153846153846,0.9056603773584906,0.7619047619047621,0.8648648648648648,0.7636363636363636,0.8627450980392156,0.8301886792452831,0.8095238095238095,0.7999999999999999,0.7169811320754716,0.823529411764706,0.8571428571428572,0.8095238095238095,0.8947368421052632,0.7169811320754716,0.8235294117647057,0.8301886792452831,0.7906976744186047,0.8648648648648648,0.7777777777777778,0.7999999999999999,0.8076923076923077,0.8571428571428572,0.8648648648648648,0.7169811320754718,0.7307692307692307,0.8679245283018869,0.8372093023255814,0.8648648648648648,0.6122448979591836,0.8727272727272728,0.8679245283018869,0.7999999999999999,0.8571428571428571,0.7407407407407408,0.8301886792452831,0.8627450980392156,0.8636363636363635,0.8571428571428572,0.7999999999999999,0.7692307692307692,0.8627450980392156,0.8372093023255814,0.8571428571428572,0.7199999999999999,0.7843137254901961,0.888888888888889,0.8636363636363635,0.8648648648648648,0.7547169811320754,0.8076923076923077,0.9019607843137255,0.8571428571428571,0.823529411764706,0.8181848575243889
Test_Accuracy,0.6388888888888888,0.7575757575757576,0.7575757575757576,0.7857142857142857,0.7391304347826086,0.5833333333333334,0.7575757575757576,0.696969696969697,0.6785714285714286,0.8260869565217391,0.6388888888888888,0.696969696969697,0.7878787878787878,0.6785714285714286,0.7391304347826086,0.6388888888888888,0.7272727272727273,0.8181818181818182,0.75,0.8260869565217391,0.5833333333333334,0.7575757575757576,0.7575757575757576,0.7142857142857143,0.7391304347826086,0.6388888888888888,0.7575757575757576,0.7575757575757576,0.75,0.6956521739130435,0.5555555555555556,0.696969696969697,0.7272727272727273,0.6785714285714286,0.782608695652174,0.5833333333333334,0.7272727272727273,0.8484848484848485,0.7142857142857143,0.8260869565217391,0.5,0.7272727272727273,0.7878787878787878,0.7857142857142857,0.782608695652174,0.6944444444444444,0.7575757575757576,0.8484848484848485,0.6428571428571429,0.782608695652174,0.6388888888888888,0.7878787878787878,0.7272727272727273,0.7142857142857143,0.6956521739130435,0.5833333333333334,0.7272727272727273,0.7878787878787878,0.7142857142857143,0.8260869565217391,0.5833333333333334,0.7272727272727273,0.7272727272727273,0.6785714285714286,0.782608695652174,0.6666666666666666,0.696969696969697,0.696969696969697,0.7857142857142857,0.782608695652174,0.5833333333333334,0.5757575757575758,0.7878787878787878,0.75,0.782608695652174,0.4722222222222222,0.7878787878787878,0.7878787878787878,0.7142857142857143,0.782608695652174,0.6111111111111112,0.7272727272727273,0.7878787878787878,0.7857142857142857,0.782608695652174,0.6944444444444444,0.6363636363636364,0.7878787878787878,0.75,0.782608695652174,0.6111111111111112,0.6666666666666666,0.8181818181818182,0.7857142857142857,0.782608695652174,0.6388888888888888,0.696969696969697,0.8484848484848485,0.7857142857142857,0.7391304347826086,0.721994008407052
Test_AUC,0.5961538461538461,0.7638888888888888,0.6031746031746031,0.8128654970760234,0.6607142857142858,0.6036363636363636,0.7000000000000001,0.6349206349206349,0.7076023391812865,0.8111111111111111,0.5596707818930041,0.7817460317460319,0.682608695652174,0.6333333333333334,0.7352941176470589,0.625,0.7644628099173554,0.6434782608695653,0.6666666666666666,0.7589285714285714,0.6145833333333334,0.75,0.5695652173913044,0.6900584795321638,0.6428571428571429,0.64,0.7272727272727273,0.6363636363636364,0.78125,0.6666666666666667,0.610909090909091,0.6739130434782609,0.6528925619834711,0.5687500000000001,0.8660714285714286,0.5555555555555556,0.7304347826086957,0.6481481481481481,0.8235294117647058,0.7666666666666666,0.5150501672240803,0.78099173553719,0.6956521739130435,0.70625,0.7333333333333333,0.6615384615384615,0.7479338842975207,0.7037037037037037,0.5989304812834225,0.6764705882352942,0.6038461538461539,0.8347826086956521,0.6983471074380165,0.7134502923976608,0.5357142857142858,0.5243055555555556,0.8057851239669421,0.6694214876033058,0.7250000000000001,0.7444444444444445,0.5384615384615384,0.8043478260869565,0.6818181818181819,0.638888888888889,0.7254901960784313,0.5473251028806585,0.7182539682539683,0.6190476190476191,0.75625,0.7254901960784313,0.610909090909091,0.5515873015873016,0.5782608695652174,0.7437499999999999,0.8137254901960784,0.49350649350649356,0.79,0.682608695652174,0.7000000000000001,0.7,0.5672727272727273,0.7652173913043478,0.5619834710743802,0.7437499999999999,0.625,0.654320987654321,0.5952380952380952,0.6735537190082644,0.75,0.8392857142857143,0.5763888888888888,0.6626984126984127,0.7083333333333334,0.70625,0.7647058823529412,0.5615384615384615,0.6322314049586777,0.7391304347826086,0.783625730994152,0.6964285714285715,0.6806237100666678
