,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
DMRT1,1,89,cluster_01,#ff9400,-0.8575538718824062,-0.8575088909435268
HPR,31,80,cluster_01,#ff9400,-0.8573816764415831,-0.8575160113013517
LHX5,25,91,cluster_01,#ff9400,-0.8575555508809218,-0.8575317715962502
C1QL1,16,58,cluster_01,#ff9400,-0.8575542884322579,-0.8575615054234421
CALB1,3,54,cluster_01,#ff9400,-0.8575780562457523,-0.8575924729458618
GREM2,33,69,cluster_01,#ff9400,-0.8576886054115742,-0.8576242089894835
RUFY1,40,98,cluster_01,#ff9400,-0.857859904430269,-0.8577191057576672
GPR39,15,92,cluster_01,#ff9400,-0.8576089980398744,-0.857737203207131
RGSL1,18,15,cluster_01,#ff9400,-0.8577144471036021,-0.857788931443319
LMO3,29,50,cluster_02,#d1ff00,-0.8578596226577562,-0.8578229022068143
PIGL,12,38,cluster_02,#d1ff00,-0.8579531868823375,-0.8578914270823026
CRX,6,69,cluster_01,#ff9400,-0.8580538599643192,-0.8580223889876483
PAX9,25,60,cluster_01,#ff9400,-0.8579350401020217,-0.8580455879478428
CILP,13,84,cluster_01,#ff9400,-0.8581159528470721,-0.8580555611589893
DDX25,16,46,cluster_02,#d1ff00,-0.8580517027759765,-0.8581690656710469
SLC19A3,12,77,cluster_02,#d1ff00,-0.8581708135820525,-0.8582042691525115
GABRB3,15,54,cluster_01,#ff9400,-0.858225547353263,-0.8582163797450247
ANXA10,0,75,cluster_02,#d1ff00,-0.8584425917470956,-0.8583168521256896
RCN3,19,95,cluster_09,#ff00ac,-0.8585519863006504,-0.8584485650799419
TGFB3,13,36,cluster_01,#ff9400,-0.8584411158406061,-0.8584500681944824
TNFRSF13B,34,74,cluster_01,#ff9400,-0.8584185992425746,-0.8584502723666418
F2RL1,0,69,cluster_01,#ff9400,-0.8589375524485311,-0.8587770539740694
KRT7,32,71,cluster_02,#d1ff00,-0.8587784102685811,-0.8587831807877571
IGHMBP2,0,88,cluster_01,#ff9400,-0.8587602067482772,-0.8587889046172904
FLG,17,62,cluster_01,#ff9400,-0.8588809928951266,-0.8587903818147075
ANO1,0,74,cluster_01,#ff9400,-0.8587495977682759,-0.8588340804173208
OR1D5,36,77,cluster_02,#d1ff00,-0.8587857107356457,-0.8588439433361529
TGFA,29,65,cluster_09,#ff00ac,-0.858822336702562,-0.8588643855297956
ABCA12,26,53,cluster_01,#ff9400,-0.8589396225086534,-0.8588688326034026
BMP3,1,72,cluster_01,#ff9400,-0.8588311085761512,-0.8589139635633365
MEP1A,22,30,cluster_01,#ff9400,-0.8590202279371172,-0.8589446005691134
CLCA2,1,55,cluster_01,#ff9400,-0.8588904014267931,-0.8589594217963388
ACOXL,30,90,cluster_01,#ff9400,-0.859032854636922,-0.8591294569148132
UST,9,52,cluster_01,#ff9400,-0.8591221210025725,-0.8591437432490621
NTNG1,17,25,cluster_01,#ff9400,-0.8592198144420429,-0.8592553611423748
LOC100131510,0,89,cluster_01,#ff9400,-0.8593270918487057,-0.8592571873770143
LAMB4,4,67,cluster_01,#ff9400,-0.8594764942144657,-0.8594175058520382
CPE,10,93,cluster_01,#ff9400,-0.8596081045386115,-0.8595548060013537
USP27X,13,77,cluster_02,#d1ff00,-0.8596179343099947,-0.8596927735540479
KRT6A,5,57,cluster_01,#ff9400,-0.8597095365793587,-0.8597455794624755
FAM135A,7,44,cluster_01,#ff9400,-0.8597221082866261,-0.8597680820616853
VCL,43,93,cluster_01,#ff9400,-0.8598433128387629,-0.8598527611058454
USP53,17,58,cluster_02,#d1ff00,-0.859986712032717,-0.8599084047538827
PGPEP1,27,73,cluster_01,#ff9400,-0.8598316986803195,-0.8599193354092046
C12orf49,7,66,cluster_09,#ff00ac,-0.8598927385210462,-0.8599868363846414
MSMB,5,77,cluster_02,#d1ff00,-0.8603351545793185,-0.8600863909252399
GATA4,37,79,cluster_09,#ff00ac,-0.8602349350470119,-0.8602268005035846
TSHB,4,74,cluster_01,#ff9400,-0.8602849738300165,-0.8602866334153657
