,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
NUP214,68,91,cluster_02,#84ff00,-0.7617149539483747,-0.7617052399055327
TAF1A,69,91,cluster_01,#ffbd00,-0.6564739031111593,-0.6565175803178094
PAPOLG,70,91,cluster_01,#ffbd00,-0.684063813894532,-0.6841526797536707
SMARCA5,71,91,cluster_01,#ffbd00,-0.8541986257510399,-0.8541357978097542
CCDC112,72,91,cluster_01,#ffbd00,-0.18330900619093646,-0.18334019713758612
DDX59,73,91,cluster_05,#004bff,-0.455281094950278,-0.4551992549613171
RIF1,74,91,cluster_01,#ffbd00,-0.5673608452791002,-0.5672667526637908
DPH3B,75,91,cluster_01,#ffbd00,-0.6078299513579072,-0.6078056109450473
LDLRAD3,76,91,cluster_01,#ffbd00,-0.10099919008203387,-0.1009615228506512
USP32,77,91,cluster_01,#ffbd00,-0.7240812952546037,-0.7240197517378492
TNPO3,78,91,cluster_01,#ffbd00,-0.410173519295927,-0.41018849910537997
MPHOSPH9,79,91,cluster_02,#84ff00,-0.7619653750239568,-0.7619511043984984
ATF7IP,80,91,cluster_02,#84ff00,-0.45531871633636384,-0.45535344796043004
NSD1,81,91,cluster_01,#ffbd00,-0.28805755827256513,-0.28799326454118684
AQR,82,91,cluster_01,#ffbd00,-0.45757783559552556,-0.4574912333229323
ARL6IP1,83,91,cluster_02,#84ff00,-0.4520209269587898,-0.45189347558955684
COG2,84,91,cluster_02,#84ff00,-0.2331744538870974,-0.23318851871655222
SNAPC3,85,91,cluster_01,#ffbd00,-0.4640345673139615,-0.4640560664340224
FLJ37201,86,91,cluster_02,#84ff00,0.23085694136030027,0.23092438871195836
ALX3,87,91,cluster_01,#ffbd00,0.20070365526925654,0.20065778739962287
KLHL12,88,91,cluster_02,#84ff00,-0.29553601951904845,-0.2955633590474075
DHTKD1,89,91,cluster_02,#84ff00,-0.18277778304078252,-0.18281451818465827
TMEM209,90,91,cluster_01,#ffbd00,-0.012269511607463519,-0.01227847037039416
ANGEL1,91,91,cluster_02,#84ff00,-0.7693581808367206,-0.7693969894508351
MKLN1,92,91,cluster_01,#ffbd00,-0.5435364911364653,-0.5435760628557552
