,GSM246548,GSM246667,GSM246670
DDX60,-0.1500641623581338,-0.5782088184107862,-0.26537934193754414
OAS3,-0.2637527576521056,-0.42401838479763826,-0.3469013162500701
IFI44,-0.25007355900749967,-0.6090430443113382,-0.3801515388376007
HERC5,-0.5464348596724377,0.11903708790805712,-0.14987889457155681
ISG15,-1.063187929175404,-0.8863003246135679,-0.2398819631074798
PLSCR1,0.05197931997219573,0.5648752724225352,0.6135045272927708
HLA-E,0.447094922331519,-0.07969888609566558,0.09860605914437154
HCP5,-0.0145719954841253,-0.7440220882392137,0.21484262728528158
HLA-C,-0.8495703679015442,-0.5071395910504849,1.5445238905803267
HLA-A,-0.6711817140564424,-0.6463572497297613,-0.27145166382495783
HCG26,1.3050636152396793,2.002293293537534,1.833052705020754
HLA-B,0.44474527943965914,0.2549792785227907,1.6446775991061646
NACAP1,-2.540192966097745,-0.6895333691187041,-0.37557740512811527
RPL37A,-0.5238134769342813,-1.5601361439366097,-0.0403673753240135
RPL27A,0.4343038146441608,0.5130714756607554,0.258121236372232
RPS11,-0.951831840574273,0.3725036736130403,-0.43886848427540714
HIST3H3,0.9724042597532928,-0.39167362815479445,-0.3403365942304752
RPLP1,0.7978177797516903,-0.39566764269133686,-0.506741888711498
HUWE1,-1.2675988442650394,-0.4215648227414345,-0.25026168090116685
EEF1A1,1.0872513882760417,-0.280389233819428,-0.08251680420046603
RPL41,-0.20407099678876983,0.07237869477188197,0.000264866118441391
FGF22,0.8640635467185289,0.41288687031708354,0.00695119674333054
IKZF3,-0.47131253606318513,-0.15226131426440068,0.47781255002201684
FOLR1,-0.8715719200616588,-0.33207465761048144,-0.5048184250833727
CENPJ,-0.2661125990553254,-0.7087712590166517,-0.4977240356805154
NRXN1,-0.2143413569289235,-0.07976394378561541,-0.14273763408202716
AKT2,-0.2631067094121507,-0.5730159499593205,0.028315018701019715
MAGEA10,-0.3663118002310414,-0.37453583479101005,-0.08703574222906334
CUBN,-0.35041835255779147,-0.2189729744696297,-0.02113623664583426
CPA3,0.20058109235657665,0.3061039315828292,-0.1987109955568647
TPTE,-0.45553144950821156,-0.5028853736679869,0.22537536595725388
ZFPM2,-0.02991969341194439,-0.5615823408570128,0.3169178206443089
AFF4,-0.2994452918428231,-0.5949491300857916,0.2848137066862829
KCNC3,-0.2673216020635853,-0.4341253843930785,-0.15787492935488648
KCNJ16,-0.3566835027596671,-0.1691204816009339,-0.28350088398863765
ATXN8OS,-0.05842545827666404,-0.046447407712008434,0.3113992881944997
CXCL11,0.4493199163094052,-0.2496474375327949,-0.27834522367767284
GPR17,-0.28311548708844264,-0.7184087843069686,-0.27181651861814254
CBL,0.7846979105718671,-0.8246884457354219,-0.23796485248951163
AKAP5,0.8354614201650763,-0.5799165399555867,-0.23931211590637527
AGT,-0.014426578619400252,-0.048585021020686535,-0.17663629914295897
CD2,0.5754453698666336,-0.2279996638981493,-0.2693991939920064
LTBP2,-0.8504594044886743,0.025195299723018573,-0.26406947289846433
CX3CL1,-0.11326794917658792,-0.31613107211272656,-0.22296057026256097
PAQR3,0.15207521606853094,0.08182142832527545,-0.11914136863737468
AMOTL2,-0.11465770335236707,-0.9741476884307544,-0.14464317443686875
COL5A1,-0.5232089929109305,-0.0937629598459569,-0.23272019137988612
KLRD1,-0.16519765917117316,0.03671986907693553,-0.21955050041893398
FBLN5,0.7072110912837906,-0.5689615617812082,-0.23745431047664853
MRC1,-0.011202478390559342,-0.6783042878282417,-0.23745431047664853
APLNR,-0.3058392715801421,-0.38665729347740674,-0.1839825080202088
ACTA2,0.06161638068812356,-0.22131735829501506,-0.24396500683583083
TNFAIP1,-0.5526749444562105,1.342847658514073,-0.21637378316627592
TM4SF1,0.2687315795519526,0.34383118898616405,-0.23745431047664853
GJA1,-1.1051584887208943,1.6557511819227455,-0.2726184255442869
NR2F2,-0.5241956936130543,-0.5523676045788597,-0.2105515157905043
HSPG2,-0.19623319170839498,-0.010816612982556708,-0.21760244066722426
KDR,0.3217544954082878,1.229407142808521,-0.5179564933407871
PDE2A,-0.3461162524987805,-0.34895226030321996,-0.1584589669130586
DNASE1L3,-0.44750275643032916,-1.5980921236838932,-0.24316180649161434
EPAS1,-0.16601821179695048,-0.0009045722812199456,-0.25427638701826466
EMP1,-0.04389214140937572,0.10755894111161808,-0.3329931724204059
IGFBP4,0.3941668219723093,0.21928759634713396,-0.23745431047664853
ELTD1,0.00869888785572294,1.0848725006875137,0.10147223217399638
RGS5,-0.15129395468877266,-0.3043673837373386,-0.12825782652792947
SERPING1,-0.37553709121081275,0.2812072802869068,-0.14329330931514314
C1QA,-0.21991900506084575,0.47986553359631245,-0.2514593889727681
IGFBP7,-0.21032586357313976,0.4080190410563738,-0.40509906536680074
HEG1,-0.3273955494521874,-0.3044998211118938,-0.24518463345495517
POSTN,-0.6111474832089223,-0.5919240255377136,-0.06685971889210225
CCL19,-0.33267399402221043,0.04691075389982495,-0.13158415021519113
NKG7,-0.222731717162139,-0.5028760799097047,-0.24692124721500336
SPARC,-0.5756265368071035,-0.2238662073892444,-0.32860335888140335
TNFRSF1A,0.7935130477741051,-0.022427124149866976,0.2985300404372107
MS4A6A,-0.29548384724540205,-0.7281090370874033,-0.19008328337289362
HLA-DQB1,-0.3018342061886993,-0.6653396050937109,-0.18821643651927467
HLA-DPA1,0.3565084328118582,-0.1852942090695611,-0.1269208501227899
HLA-DMA,-0.3153367534487207,-0.5093561517936999,-0.24076638647712606
MYT1L,0.20141829833437053,-0.3302460949084971,-0.32134758892191795
TENM1,0.28777558455175634,-0.4392323215391784,-0.2490858897280281
MAGEB2,0.1430135026585786,-0.0750867599591566,-0.29950157845776804
SSX1,-0.27540862311714726,-0.2111358994816019,-0.2575626680424154
GABRG2,-0.15550266836959034,-0.4056352496251367,-0.27338939061080814
MAGEC1,0.0892832580851048,0.10542131126929107,-0.2098540294043525
ZKSCAN7,-0.5485308140721239,-0.38843008813973595,-0.23745431047664853
TRIM14,-0.14599255139882872,-0.28036367569837484,-0.2086253701788102
ATG13,-0.12799434670623086,-0.5825489866235821,-0.128393200208558
ZNHIT2,-0.04157586586833722,-0.3932768103555606,-0.26865788089259324
GGTLC1,-0.42062060341330515,-0.32573625908415377,-0.32941943902256077
APOL3,-0.11754107903326869,-0.3650096688623009,-0.17057676531213
APC,-0.4069769604229978,-0.3980050353478251,-0.2646302928486199
KIT,-0.3405449155746929,-0.33261137676154245,-0.20528362197548614
AAMDC,-0.6107715020054472,-0.09610735841911192,-0.1628231308098864
DUS1L,-0.06486739115084365,-0.19929547437592454,-0.47087536963835025
FKBP15,-0.385206914178729,-0.28797302389035073,-0.06258057197247689
CSNK1G2,-0.441900323865683,-0.3577721031637863,-0.22806084469838817
NAA40,-0.3690663015373252,-0.3255410884222723,-0.2798123763122402
GATAD2A,-0.3545314158563057,-0.3210591330605037,-0.2955449208462525
POLR1C,0.20442850113984126,-0.3296814941756193,-0.35622496140784804
UBAP2,-0.33055513825555655,-0.3325463198962941,-0.2739514988520772
SF3A2,-0.31012061801180263,-0.32813174645278104,-0.26134401604351315
DDX39A,-0.21540287607972233,-0.23291845278375015,-0.47165017452368
ANKRD17,-0.38529000605930314,-0.3320885983680195,-0.10939959607098906
CHERP,-0.23035761086333215,-0.3304947050975927,-0.09164621555240371
EXOSC2,-0.06624468867337666,-0.3328088708141669,-0.1979542018566675
SART1,-0.22179483900760708,-0.32482313916886474,-0.23083402024559393
TMEM222,-0.2891314064403336,-0.3210870145897532,-0.2666595581279858
DDX58,-0.3563386703383208,-0.18539876551782766,-0.2981401482031647
SP100,-0.4195694952439194,-0.41082119138857354,-0.3235702174119887
RBCK1,-0.4408720683402037,-0.31624956864184667,-0.049276387704633336
IRF9,-0.9232874006223124,-0.7864870333955494,-0.4857951789498247
SP110,-0.3608588822354392,-0.4833103856940936,-0.14981185263067195
HERC6,-0.53970661420571,-0.8981194304924232,-0.30445609878861707
USP18,-0.5523467377019984,-0.4438141584922374,-0.24397145306602872
EIF2AK2,-0.7073420624540933,-0.4509680488604638,-0.19673327551852857
IFI44L,0.05636471103933485,-0.5119421390276417,-0.2569103111178885
OAS1,-1.162239876075984,-0.8880939853254197,-0.40950686681311227
STAT2,-0.5048044081795949,-0.5363637862111278,-0.34482953620524076
PSMB9,0.48989758869570915,0.09581824436645973,-0.07037560482317931
HLA-G,-0.3532829559382342,0.35642244761404734,-0.010952060579082368
HLA-F,0.9565209095334523,0.975773962401199,1.372561367313795
HLA-J,-0.7566364729561804,-1.0035500982315957,-0.9107433101961862
C19orf24,0.07625168690709301,-0.1571034470282185,-0.4578519274799713
TMA7,-0.554685729828946,-1.551035712499272,0.28289512465671585
RPLP2,-1.7343836039135978,-3.0648400218035596,-0.6013685077395247
ATP5E,0.5133962426238249,0.02240012796683781,-0.43322436201959685
MAML3,3.7076375743610783,2.45685067726961,-0.32033812336832396
FGFR4,-1.1917660200897202,-1.112737094507889,-1.3735922139435206
RPS24,1.3528236624133858,-0.3504508903674676,0.3544491455435032
RPS4X,-2.8762200031731724,-0.8169631325947958,-0.3049640561250169
OR10J1,0.1173511627112976,-0.6350723819131953,-0.3461613028070606
RPL32,-0.014364257104491225,-0.3020137158426164,0.17370209008212173
RPL23AP32,0.5483005113194709,-0.33857569625737766,-0.2608038236319881
RPL27,-0.6949431176699784,-0.1640274160208663,-0.30267566927985085
BHMT,-0.529432475915575,-0.0654721580652626,-0.20005311155385214
HCG4B,-0.717917191655912,-0.29737375966058366,-0.22883310525391548
COL4A6,-0.3206297463719031,-0.41314464156753045,-0.3051213423966511
RAB15,-0.3168261870191112,-0.11440016355696976,0.263339293404754
OR2B6,-0.5252010895831267,-0.43595393756211887,-0.24198601380667115
C8A,-0.2488790949495632,-0.006139412953639873,-0.15111530251394645
MUSK,-0.12815222584868177,-0.16373930460757563,-0.24045825648268018
ALOX15B,-0.37668999224694966,0.022586008034890016,-0.18115644918351262
LOC100505498,0.04761470505599243,0.14974697191763117,-0.10610678021786119
RAPGEF5,-0.6758388627738678,-0.45094249095904504,-0.0635913740755539
GPR171,-0.2857619935494905,0.1746039589625307,-0.3200467577963115
ELP6,-0.6344416687960818,-0.33207465761048144,-0.23679550493101512
SLC12A2,-0.45356011001352686,-0.2756563339540201,-0.3039171998344614
DLX5,0.027665471530126048,-0.3649306713698536,-0.11341569418010249
HOXA5,-0.34269700586881807,-0.21860586578168756,-0.3677376817773699
DCC,0.3009487333188469,-0.5381760659370924,-0.21463587052227331
CDH4,-0.5355500141996092,-0.5339752942120639,-0.25081476679205544
CD34,0.01098609365971287,-0.15895990740902374,-0.14656289608865794
HOXA7,-0.3647849835304087,-0.16155291060184856,-0.2906561434851913
CXCL10,-0.3199753930228615,-0.34432857926629346,-0.22283809142128388
CDC42EP3,0.6680596979420521,-0.2614041878465624,0.1424162505003852
CIDEB,1.0511004983588499,-0.8334848437711181,-0.259426912898585
RASSF8,0.5409232569740148,-0.4955944189751038,-0.20197797090869593
IGFBP2,0.061562368246660656,-0.46964621948856444,-0.12787620166893976
TFPI,-0.30278146248263094,-0.03436756472785498,-0.26210724723909234
PLA2G7,0.04236719848225344,-0.4836263737899428,-0.2378887868883052
KLRB1,-1.1592218271177204,-0.5363382284190299,-0.1467072941970143
PRKCH,0.4459730768402842,-0.50286213927226,-0.23983683946119078
TEK,-0.4902572810789999,-0.1313825075596981,-0.16885302010808073
CDH11,-0.18900819589866152,0.6073570422866882,-0.23745431047664853
HTRA1,1.2981906109353971,0.5153090623015045,-0.23658535754809368
GJA4,-0.27257307714604656,0.04159690154053375,-0.12981913607747403
COX7A1,-0.2994245186714406,0.6548926772142236,-0.20670695942129594
IGFBP5,-0.6357690242411878,0.18617043817558046,-0.12497146832349289
PLVAP,-0.13296130642478438,1.006843005166845,-0.29861845375586266
CD5L,0.0677945751470022,0.3683259459769298,-0.2483007395655691
GZMK,-0.07742094120190393,-1.4918467951904797,-0.20211463202962837
OLFML2A,0.28578953826620973,0.9433433335843164,-0.23745431047664853
TIE1,-0.15518898839191708,0.20769321561467824,-0.3118021371184896
COL3A1,0.14681933806885678,0.16195705093675217,-0.21389455004963195
MALL,-0.16604106262862436,1.5495355237015453,-0.27427251935850877
SEPP1,0.2755165339953785,1.6955723241694451,-0.2463978135770339
ID1,-0.3397638479227466,-0.10506672246642766,-0.3626697671835311
RAI14,-0.23219397328043417,0.041294846143552395,-0.32939494372773737
IGFBP3,-0.16275885168230814,0.1309404443001058,-0.15064471975317953
SDC3,-0.16703818976340126,-0.38881113441795795,-0.23814405788065393
LUM,-0.29227231299245127,-0.028884117513806814,-0.27138333412620125
MGP,-0.2889652208795125,-0.6093799412415759,-0.17003656399501396
COL1A2,0.23433115088202414,0.25981686448448454,-0.29134459499064747
C1S,-0.3437377366058839,-0.691473422859791,-0.3561347160243064
CD81,0.1912284889629899,0.34153088609261967,-0.08382413786634106
IGSF6,0.45109824990130987,0.678084290041091,-0.08979996383720452
MS4A4A,-0.7396968081658035,-0.27768239627856395,-0.29419767119023404
FGR,-0.17109940433048448,-0.1683978797698244,-0.3063254846930389
HLA-DRB6,-0.02799188440771164,-0.36318110916353746,-0.24692124721500336
HLA-DRB4,-0.31135869742968136,-0.22607815274450943,-0.24690577627072693
CHRM3,-0.07087722628081793,-0.007981946434477666,-0.19155303804778442
VCX2,-0.6764724176109737,-0.4003168697624505,-0.30007915482864045
PAGE1,-0.3354804384766169,-0.32723953778964565,-0.2346759812715741
MAGEB1,0.06479896048434404,0.27847016084076465,-0.1973688792326248
TSPYL5,0.10576958373347056,-0.1876246560030427,-0.27052985742842467
DFFA,0.15195057070316276,-0.07192913747219426,-0.15461953123490982
HEATR2,-0.39518208893992085,-0.015033759609113198,-0.16145908822664481
KCNMB3,-0.11320562835496664,-0.7246215934463682,-0.1524135950185555
PCBP3,-0.2617896848840371,0.46041971723967134,0.09219940067902857
APOL2,-0.0803105610809507,-0.24263752993919052,-0.12641158709036648
IL15,0.7186916546464233,-0.04830620190620771,-0.5278896307950787
MDM2,-0.4249185127974847,-0.1594989546926001,-0.35141745884340697
PIAS4,-0.1860749871755092,-0.05974475283596795,-0.06160844834502631
DAZAP1,-0.6135923992593569,-0.5823793762120724,-0.22145343568504436
COLGALT1,-0.36276169133484015,-0.3134497975125116,-0.12437840229663517
DNM2,-0.33363163357120434,-0.19226696124427275,-0.012769974131028919
TNPO2,-0.2816925221359559,-0.3281038649332681,-0.19146278996537452
SNAPC4,0.01201855641897325,-0.2017955333262279,-0.21944478177288973
AKAP8,-0.1877700994181833,-0.3435711319360184,-0.215827140081072
NPAT,-0.40620836236706037,-0.3372582950859035,-0.23745431047664853
NUDT3,-0.3100479119992746,-0.3328088708141669,-0.20669277761892835
FAN1,-0.2945303582163646,-0.3276856421312175,-0.13041864788338273
RPS6KB2,-0.3439122303681143,-0.3321025391255404,-0.1478921321122848
CPSF7,-0.34481585873766174,-0.3322582109164869,-0.23596394008886207
SCAMP4,-0.34389145730154624,-0.31648423823457583,-0.09321011404585962
TMEM161A,-0.40186889806591536,-0.3321025391255404,-0.1908632848066241
POLRMT,-0.22409237152041767,-0.3037121672267418,-0.14470248082374496
CD97,-0.23338013024826698,-0.35531620948574183,-0.30080499290386603
DPM2,-0.2503269930974354,-0.29989704092030905,-0.38814723920168115
ABCA1,-0.31848803729148056,-0.28543812379411404,-0.11116332747938995
CCR1,-0.36286347914692607,-0.6472052990435158,-0.23076569004246797
SAMD9,-0.2850203901679004,-0.3254225919471264,-0.37118375789421576
TRIM22,-0.42913332862941866,-0.16114630169751767,-0.2334408813416864
MX1,-0.6228340512301299,-0.17775220246285256,-0.1653114117780627
XAF1,-0.7082643488228888,-0.10350766330033213,-0.630693005685288
IFIT1,0.07842465281063521,-0.6180091477522442,-0.04082378527902403
SAMHD1,-0.17447301543653068,0.08891742248191142,-0.1928203788254072
IFI6,-0.5949221141515738,0.23363071436787639,-0.11734927571805177
STAT1,0.05640625904740278,-0.6514920134996546,-0.1530440467792342
OAS2,0.4057861718460561,-0.44595637601724764,0.11907801959068579
LAP3,0.24934275944145756,0.1615852881974731,0.7832757164881573
TAP1,-1.2542639126690305,-0.9757740575428184,-0.12366672297675145
PSMB8,0.4362732742362508,0.9247544750614629,1.3625706543685758
MACROD1,0.25935605244224175,0.3463452577029244,-0.2380924879851177
IDO1,1.5303319773481268,2.0313422888151127,-0.23745431047664853
RPL39,0.3534192345819309,0.14046917567741737,-0.06565810280106976
RPS6,-0.10926071955417521,0.27337001143959483,-0.25155608229424903
APOM,-2.1101784319108883,-1.4896373138244672,-0.6593482792690638
RP3-507I15.1,-1.9651290835519486,-1.8542448856646407,-0.37640637045365416
RPS28,2.2064020071951154,0.7752542118251492,0.04771658677574514
RPL38,-0.8990613205310627,0.022690565574699357,-0.4572846812282753
RPL14,-1.43080681428126,-0.6634134893294933,-0.17848510026290493
RPL22,-3.21033004763168,-1.2284567667716613,-0.7377962909121479
RP5-1118D24.2,-0.9527208669246642,0.20515825270755428,-0.10284877293000624
RPS18,0.07739010492345277,-0.7320565158463844,0.08504623154651236
RPL34,-1.954547132101978,-1.6345169714907917,-0.20007502891133627
PTBP3,-0.3365710254624106,-0.19695108795767946,0.02580344378213218
ACSM3,-1.107331164963046,-0.41208282487563147,-0.3997424022333024
SLURP1,-0.5753689574931862,-0.31554323636893833,-0.552621195889062
ABCD2,-0.05522422514255431,-0.16842111455621492,-0.11186211564520399
PSG5,-0.4099994196822904,-0.19440223541034346,-0.17338220137907623
MTTP,-0.2820996770989092,0.03468912794048592,0.7226134427313634
BAGE,-0.3153803770305325,0.06596814075875458,0.3206711994970536
TUSC3,0.0552055217158127,-0.16647403938608424,0.36684016064377367
CHAT,-0.5385890477764532,-0.7939684007778833,-0.3260519795987222
GYG2,-0.5704147087963028,-0.25380412336233155,0.5371865657659919
ECRP,-0.19971896964465546,-0.4745695955401704,0.9944306184834303
CHRNA3,-0.10889302653823354,0.24034105727337834,0.5732339601217571
ACVR1B,-0.07005874222818687,-0.7138223637381268,-0.39964442230462455
C16orf3,-0.0847706698629681,-0.4050729744944168,-0.23867522778695435
LIM2,-0.9978720715581312,-0.6425909809871063,-0.16757793822898312
VGLL3,-0.5588277800806959,-0.583055494410632,-0.23797129872680584
CCDC132,-0.07042435948227924,-0.3281038649332681,-0.28213944977626504
DLX4,1.174431734706178,-0.3718429507860294,0.0010036369207107824
JAM2,-0.10154747257690414,-0.3037400487812564,-0.3174966637768991
IPO8,0.9270271929276492,-0.670890256142876,0.12157803307815183
ZNF134,0.8291310280627465,-0.4387885431652492,-0.18442343495145944
C6orf123,0.026738954011004668,-0.4976413698709444,-0.3156775616068108
TBL1Y,0.38992253257835274,-0.3958000794603761,-0.049839808118605215
GPR18,-0.1333809323360307,-0.2252904957595821,-0.23532705158233785
IL18R1,0.06345280387926806,-0.41230587609383684,-0.22283809142128388
GPX3,-0.07759128545826206,-0.403153803890978,-0.2608115590845565
TNFAIP6,-0.20584088979732781,-0.4481775904716229,-0.23745431047664853
EGFL7,-0.5818458285622967,-0.31824774530304256,-0.22668134727543296
COL5A2,-0.44314669404303425,-0.3363660868677079,-0.32221523924733086
CALD1,-0.0320573173448816,-0.18039864318641535,-0.22536373352728364
TF,-0.057507259147030004,0.9687682728987241,-0.2554508878371972
PCDH17,0.037117617614745045,0.3517939567153162,-0.18387034239209968
MXRA5,-0.14069322229749318,0.9902988674662656,-0.3474853337557619
CHN1,-0.24379379226641376,-0.536521779833521,-0.2339488452284508
LDB2,0.010836521601282031,1.851569633718154,-0.23745431047664853
GZMA,0.3246629433177053,-0.6090430443113382,-0.23745431047664853
GPR116,0.7229090929799645,-0.11219982322540091,-0.20478339097385675
LAMB1,-0.3188640308745728,-1.8378378626954452,-0.38211630085385945
LHFP,-0.33355685044300265,0.5861939855063649,-0.8369939822301288
GAL3ST4,0.5248121525548323,-0.25413405591221444,-0.27718490935978923
LPL,-0.48204997381131853,0.5685557984703171,-0.26347771109445917
PLS3,-0.2136246756292227,1.5347081324486094,-0.4252197026961578
FOLR2,-0.18278447426178268,0.521334050217586,-0.21947443456426066
TMEM176A,-0.10148515167286211,-0.08828649945649018,-0.2705891624613635
TMEM176B,-0.337817410427077,0.5930438613202479,-0.06767068068190625
C1QB,-0.1977122585546884,-0.24984493240557185,-0.20809419737378387
APOE,-0.36813151612426687,-0.4985428646427322,-0.3000198501146018
CCL18,-0.21889072382473973,0.1529580709456278,-0.2744904007337452
ID3,-0.2795694995590585,0.516988995131563,-0.2567917007599917
TGFBI,-0.3196928785472425,-0.3820870606351693,-0.23209877348373367
VCAN,-0.4049848372263247,-0.4574946065567539,-0.2757925318626158
HMOX1,-0.17336786711273822,-0.30414433131303875,0.02299661833970971
LYZ,0.2996378576799896,-0.3307456387401063,-0.33593389429961223
CSF1R,0.047992791560916744,-0.9051128434835314,-0.22431686210438614
DOK2,-0.34832858330397254,-0.502313807517393,-0.3209608205340079
ARRB2,-0.22314718416555493,-0.6036433988260616,-0.22764183850606498
IL32,-0.46198555792827917,-0.37925012351185416,-0.24758134079418131
AP1S1,-0.0595430851482858,0.2755239240440299,-0.23609157563133445
LINC00328,-0.10072483663234937,-0.29022446101431076,-0.3435299998502541
SSX3,0.9652905098506527,-0.5590521224734181,-0.23727510506208738
ASTN1,-0.07870475517654606,0.27146936383276765,-0.23075795454766543
