,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
SLC25A46,19,50,cluster_05,#00fff6,-0.14206701543988193,-0.1420173469683377
SNX25,20,50,cluster_05,#00fff6,-0.2867180100688296,-0.28670780796340817
SCD,21,50,cluster_03,#3dff00,-0.6174495702506554,-0.6174958389982637
POLK,22,50,cluster_05,#00fff6,-0.5057442966327844,-0.5057032400818159
LYSMD3,23,50,cluster_05,#00fff6,-0.6063437066977427,-0.6063375474335413
YTHDC2,24,50,cluster_05,#00fff6,-0.7247472869086783,-0.7247323047719322
MAT2B,25,50,cluster_05,#00fff6,-0.46194445556420993,-0.46202267999886737
FEM1C,26,50,cluster_05,#00fff6,-0.5743962653809989,-0.5743914815390384
APPL1,27,50,cluster_05,#00fff6,-0.49953433921939105,-0.4995666860971472
ZFYVE16,28,50,cluster_05,#00fff6,-0.48999444678362664,-0.49002631842027317
FAM105B,29,50,cluster_07,#2500ff,-0.7900532835840605,-0.7900961047005629
TMEM135,30,50,cluster_08,#b900ff,-0.536178255246063,-0.5361941321897781
DAP,31,50,cluster_06,#0074ff,-0.26655289433960694,-0.26657335593424
ZNF845,32,50,cluster_05,#00fff6,-0.4373330896159044,-0.4373691845548596
ZNF761,33,50,cluster_06,#0074ff,0.9602674169733911,0.9602889610768661
LOC147804,34,50,cluster_06,#0074ff,0.602690242008007,0.602699550718587
ZNF321,35,50,cluster_06,#0074ff,1.067414512107908,1.0674185220481476
ZNF83,36,50,cluster_01,#ff9400,1.4722103159013877,1.4721598101357722
ZNF577,37,50,cluster_06,#0074ff,0.8742822220736232,0.87432739548565
ZNF649,38,50,cluster_06,#0074ff,0.7002393774626803,0.7002279880301662
ZNF486,39,50,cluster_08,#b900ff,0.08625264424076134,0.08628847898348663
ZNF528,40,50,cluster_06,#0074ff,1.1497665555143848,1.1497721312854432
ZNF71,41,50,cluster_06,#0074ff,1.4394047217749901,1.439418225801041
ZFP28,42,50,cluster_06,#0074ff,0.23893524196438046,0.23891604639902259
LOC441455,43,50,cluster_02,#d1ff00,-0.3329529357299324,-0.332955844291547
ULBP1,44,50,cluster_07,#2500ff,-0.3932360596076423,-0.3931952206479952
LOC149837,45,50,cluster_09,#ff00ac,-0.4613729165500861,-0.46139872991246644
CHRNA3,46,50,cluster_07,#2500ff,-0.6503664583818057,-0.6504164624126627
HOXA2,47,50,cluster_01,#ff9400,-0.34647860922484597,-0.34648751606568
UCHL1,48,50,cluster_01,#ff9400,-0.20920112741230237,-0.209184845019591
ADD2,49,50,cluster_01,#ff9400,-0.5058798162064501,-0.505871717617431
C5orf13,50,50,cluster_01,#ff9400,-0.41565878795142436,-0.4156471255771122
OTOF,51,50,cluster_07,#2500ff,-0.6959493087475219,-0.6959420428599133
CHODL,52,50,cluster_07,#2500ff,-0.7083351773338236,-0.70836825177094
SCN5A,53,50,cluster_01,#ff9400,-0.6407510764406771,-0.6408450759673406
ERC2,54,50,cluster_07,#2500ff,-0.6873777560503065,-0.6874254908231904
PAQR8,55,50,cluster_09,#ff00ac,0.15954957708606243,0.15956056022930204
HUNK,56,50,cluster_01,#ff9400,-0.2706261711010485,-0.27056691803774363
DIRAS3,57,50,cluster_06,#0074ff,-0.3715411430967041,-0.37158520987758575
ROBO2,58,50,cluster_06,#0074ff,-0.565063243994672,-0.5650831770279056
FSD1,59,50,cluster_01,#ff9400,-0.6246679332755768,-0.6246849691206957
BEND5,60,50,cluster_09,#ff00ac,0.6217460344254655,0.6216700907668004
SLC12A5,61,50,cluster_01,#ff9400,-0.5827645797454778,-0.5827501112867876
PDE11A,62,50,cluster_09,#ff00ac,-0.4315269259559635,-0.43147841020460936
WNT11,63,50,cluster_09,#ff00ac,-0.628001928113425,-0.6280092314423718
ITM2C,64,50,cluster_01,#ff9400,-0.6839732458683728,-0.6839683710458458
PCDH19,65,50,cluster_06,#0074ff,-0.48916386441223864,-0.48916506111820546
ZDHHC8P1,66,50,cluster_09,#ff00ac,-0.5104385787086971,-0.5105369839091992
STRA6,67,50,cluster_02,#d1ff00,-0.5034299589516402,-0.5034257902481599
LYPD1,68,50,cluster_08,#b900ff,-0.7186171889338993,-0.718557384151847
MPPED2,69,50,cluster_02,#d1ff00,-0.4532951272275442,-0.4533043021238012
CDKN1C,70,50,cluster_02,#d1ff00,-0.6556982865056309,-0.6556627835811042
GPM6B,71,50,cluster_06,#0074ff,-0.3787388908614124,-0.37866493874292956
DLX5,72,50,cluster_02,#d1ff00,-0.6933140587814625,-0.6933931925292554
PREX2,73,50,cluster_06,#0074ff,-0.7092323436471057,-0.7092931466213203
NLGN4X,74,50,cluster_06,#0074ff,-0.4934003992173407,-0.4934546421962842
CDH6,75,50,cluster_06,#0074ff,-0.47285813217828154,-0.47288068481776746
EYA2,76,50,cluster_01,#ff9400,1.1499188526537074,1.1499206160709945
ZNF503,77,50,cluster_06,#0074ff,-0.47695352539373337,-0.47692247481200367
SS18,78,50,cluster_01,#ff9400,0.8249717973448242,0.8249355741811489
NPR1,79,50,cluster_06,#0074ff,0.08312507111413929,0.08317195868100433
TP53I3,80,50,cluster_02,#d1ff00,-0.15161820846732482,-0.15166374452094716
HS6ST1,81,50,cluster_06,#0074ff,0.768779698922415,0.7688259263556154
