,x,y,Subtypes,colors,simply_importance_class_0,simply_importance_class_1
SNX1,101,28,cluster_03,#00fff6,1.2636062644594446,1.2636762104539694
TIPIN,102,28,cluster_02,#08ff00,1.9793242748546445,1.9793527657400116
ETF1,103,28,cluster_03,#00fff6,0.8531902439608611,0.8532699690618308
SEC11A,104,28,cluster_03,#00fff6,1.9216614718122524,1.9215925806953043
REPIN1,105,28,cluster_03,#00fff6,1.7198311228772283,1.7198786664757315
COX7C,106,28,cluster_03,#00fff6,4.356824325715393,4.356810595101262
XPNPEP1,107,28,cluster_02,#08ff00,0.3901102827760429,0.3900835054204262
ORC5,108,28,cluster_02,#08ff00,0.5239694276652096,0.5240210307203221
RUVBL2,109,28,cluster_03,#00fff6,0.5253121777520479,0.5253213361835307
NOLC1,110,28,cluster_02,#08ff00,-0.005620218947547439,-0.005715312211645118
NHP2L1,111,28,cluster_04,#0010ff,0.1296154280297338,0.12966903998688303
CCR3,0,29,cluster_01,#fcf500,-0.6487638298096553,-0.6488483055471227
RP11-286E11.2,1,29,cluster_01,#fcf500,-0.5317946016005836,-0.531752634460238
MYBPC1,2,29,cluster_01,#fcf500,-0.6191055153679701,-0.6191719384186033
TUBAL3,3,29,cluster_01,#fcf500,-0.3985483353615166,-0.3984876003492149
CCR7,4,29,cluster_01,#fcf500,-0.5943318658374029,-0.5943899584812649
SPAM1,5,29,cluster_01,#fcf500,-0.6525127841062021,-0.6526097293117371
MSH4,6,29,cluster_01,#fcf500,-0.5180522572463928,-0.5180003226614346
LEFTY1,7,29,cluster_01,#fcf500,-0.16592425951125306,-0.166061818711554
KIR2DL4,8,29,cluster_01,#fcf500,-0.5997554219174004,-0.5997297176106633
CEP162,9,29,cluster_01,#fcf500,-0.762487670608383,-0.7625816875848082
RP11-429B14.4,10,29,cluster_01,#fcf500,-0.562918773820753,-0.5630129216807274
OTC,11,29,cluster_01,#fcf500,-0.592488014853077,-0.5926840213462041
HIP1,12,29,cluster_01,#fcf500,-0.6122299927591481,-0.6123146193308014
KLK10,13,29,cluster_01,#fcf500,-0.6663589485346312,-0.6664400614984196
DNAH17,14,29,cluster_01,#fcf500,-0.6595158118879385,-0.6594854646969668
TAS2R4,15,29,cluster_01,#fcf500,-0.6859103693767205,-0.6858373689503746
DTX4,16,29,cluster_01,#fcf500,-0.7822168131470962,-0.782250012212996
GNRH1,17,29,cluster_01,#fcf500,-0.7778596276492219,-0.7778484897785403
TBC1D22A,18,29,cluster_01,#fcf500,-0.7786097400748299,-0.778566758609171
MAP3K9,19,29,cluster_01,#fcf500,-0.6962744416095056,-0.696317582889138
EFR3B,20,29,cluster_01,#fcf500,-0.7745128170523186,-0.7745260071071619
ANO2,21,29,cluster_01,#fcf500,-0.8174033245127558,-0.8174702943655328
GHRHR,22,29,cluster_01,#fcf500,-0.7330425616575584,-0.7329542574537266
SAP130,23,29,cluster_01,#fcf500,-0.8761783051965032,-0.8761547882607451
OSBPL7,24,29,cluster_01,#fcf500,-0.804881690712207,-0.8050067505229319
NPAP1,25,29,cluster_01,#fcf500,-0.7772546552135341,-0.7773791501412508
PKI55,26,29,cluster_01,#fcf500,-0.570586214242546,-0.5705116340231617
HNF4A,27,29,cluster_01,#fcf500,-0.7325926272686334,-0.7326998997198083
